,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3102286,34577603,2019-06-28,t,$400.00,$400.00,3,1125
3102287,34577603,2019-06-29,t,$400.00,$400.00,3,1125
3102288,34577603,2019-06-30,t,$400.00,$400.00,3,1125
3102649,34577820,2019-06-26,t,$37.00,$37.00,1,1125
3103013,34578345,2019-06-25,t,$389.00,$389.00,2,25
3103017,34578345,2019-06-29,t,$389.00,$389.00,2,25
3103018,34578345,2019-06-30,t,$389.00,$389.00,2,25
3103379,34580493,2019-06-26,t,$45.00,$45.00,1,7
3103380,34580493,2019-06-27,t,$45.00,$45.00,1,7
3103381,34580493,2019-06-28,t,$45.00,$45.00,1,7
3103382,34580493,2019-06-29,t,$45.00,$45.00,1,7
3103383,34580493,2019-06-30,t,$45.00,$45.00,1,7
3106052,34686071,2019-06-29,t,$40.00,$40.00,2,1125
3106053,34686071,2019-06-30,t,$35.00,$35.00,2,1125
3106412,34581585,2019-06-30,t,$139.00,$139.00,1,1125
3106777,34582477,2019-06-30,t,$99.00,$99.00,1,1125
3107138,34717270,2019-06-26,t,$79.00,$79.00,1,1125
